#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Bordetella pertussis","B3913",19440,SAMN03566787 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307725.1 ,4.10955,67.7,chromosome:NZ_CP011447.1/CP011447.1,-,1,3978,3630,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/725/GCF_001307725.1_ASM130772v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/725/GCA_001307725.1_ASM130772v1
"Bordetella pertussis","B3921",19440,SAMN03566788 ,PRJNA281570,"Proteobacteria","Betaproteobacteria",GCA_001307745.1 ,4.11156,67.7,chromosome:NZ_CP011448.1/CP011448.1,-,1,3980,3633,2015/10/07,2017/03/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/745/GCF_001307745.1_ASM130774v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/745/GCA_001307745.1_ASM130774v1
"Bordetella pertussis","H321",19440,SAMN03366100 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001509895.1 ,4.0794,67.7,chromosome:NZ_CP010965.1/CP010965.1,-,1,3941,3594,2016/01/11,2017/03/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/509/895/GCF_001509895.1_ASM150989v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/895/GCA_001509895.1_ASM150989v1
"Bordetella pertussis","I979",19440,SAMN03249376 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001509915.1 ,4.08255,67.7,chromosome:NZ_CP010966.1/CP010966.1,-,1,3949,3600,2016/01/11,2017/03/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/509/915/GCF_001509915.1_ASM150991v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/915/GCA_001509915.1_ASM150991v1
"Bordetella pertussis","FDAARGOS_179",19440,SAMN03996260 ,PRJNA231221,"Proteobacteria","Betaproteobacteria",GCA_001558395.2 ,4.10086,67.7,chromosome:NZ_CP014153.1/CP014153.2,-,1,3989,3418,2016/02/11,2019/04/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/395/GCF_001558395.1_ASM155839v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/395/GCA_001558395.2_ASM155839v2
"Bordetella pertussis","H374",19440,SAMN03249361 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605035.1 ,4.10744,67.7,chromosome:NZ_CP010838.1/CP010838.1,-,1,3975,3632,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/035/GCF_001605035.1_ASM160503v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/035/GCA_001605035.1_ASM160503v1
"Bordetella pertussis","H378",19440,SAMN03249363 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605055.1 ,4.10753,67.7,chromosome:NZ_CP010839.1/CP010839.1,-,1,3966,3606,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/055/GCF_001605055.1_ASM160505v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/055/GCA_001605055.1_ASM160505v1
"Bordetella pertussis","H379",19440,SAMN03249364 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605075.1 ,4.10533,67.7,chromosome:NZ_CP010840.1/CP010840.1,-,1,3969,3617,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/075/GCF_001605075.1_ASM160507v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/075/GCA_001605075.1_ASM160507v1
"Bordetella pertussis","H380",19440,SAMN03249365 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605095.1 ,4.10429,67.7,chromosome:NZ_CP010841.1/CP010841.1,-,1,3968,3616,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/095/GCF_001605095.1_ASM160509v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/095/GCA_001605095.1_ASM160509v1
"Bordetella pertussis","H559",19440,SAMN03249368 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605115.1 ,4.10649,67.7,chromosome:NZ_CP010844.1/CP010844.1,-,1,3965,3608,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/115/GCF_001605115.1_ASM160511v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/115/GCA_001605115.1_ASM160511v1
"Bordetella pertussis","H375",19440,SAMN03249362 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605135.1 ,4.11105,67.7,chromosome:NZ_CP010961.1/CP010961.1,-,1,3974,3599,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/135/GCF_001605135.1_ASM160513v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/135/GCA_001605135.1_ASM160513v1
"Bordetella pertussis","H627",19440,SAMN03249372 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605155.1 ,4.10741,67.7,chromosome:NZ_CP010962.1/CP010962.1,-,1,3974,3615,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/155/GCF_001605155.1_ASM160515v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/155/GCA_001605155.1_ASM160515v1
"Bordetella pertussis","H489",19440,SAMN03249366 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605175.1 ,4.10636,67.7,chromosome:NZ_CP010842.1/CP010842.1,-,1,3966,3619,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/175/GCF_001605175.1_ASM160517v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/175/GCA_001605175.1_ASM160517v1
"Bordetella pertussis","H542",19440,SAMN03249367 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605195.1 ,4.10335,67.7,chromosome:NZ_CP010843.1/CP010843.1,-,1,3960,3607,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/195/GCF_001605195.1_ASM160519v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/195/GCA_001605195.1_ASM160519v1
"Bordetella pertussis","H561",19440,SAMN03249369 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605215.1 ,4.07301,67.7,chromosome:NZ_CP010845.1/CP010845.1,-,1,3941,3604,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/215/GCF_001605215.1_ASM160521v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/215/GCA_001605215.1_ASM160521v1
"Bordetella pertussis","H563",19440,SAMN03249370 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605235.1 ,4.10639,67.7,chromosome:NZ_CP010846.1/CP010846.1,-,1,3971,3625,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/235/GCF_001605235.1_ASM160523v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/235/GCA_001605235.1_ASM160523v1
"Bordetella pertussis","H622",19440,SAMN03249371 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605255.1 ,4.10743,67.7,chromosome:NZ_CP010847.1/CP010847.1,-,1,3973,3627,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/255/GCF_001605255.1_ASM160525v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/255/GCA_001605255.1_ASM160525v1
"Bordetella pertussis","C393",19440,SAMN03249373 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605275.1 ,4.13378,67.7,chromosome:NZ_CP010963.1/CP010963.1,-,1,3999,3638,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/275/GCF_001605275.1_ASM160527v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/275/GCA_001605275.1_ASM160527v1
"Bordetella pertussis","E476",19440,SAMN03249374 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605295.1 ,4.10298,67.7,chromosome:NZ_CP010964.1/CP010964.1,-,1,3962,3621,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/295/GCF_001605295.1_ASM160529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/295/GCA_001605295.1_ASM160529v1
"Bordetella pertussis","H564",19440,SAMN03249377 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605345.1 ,4.10955,67.7,chromosome:NZ_CP010249.1/CP010249.1,-,1,3970,3626,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/345/GCF_001605345.1_ASM160534v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/345/GCA_001605345.1_ASM160534v1
"Bordetella pertussis","H788",19440,SAMN03167927 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605365.1 ,4.10682,67.7,chromosome:NZ_CP010250.1/CP010250.1,-,1,3966,3623,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/365/GCF_001605365.1_ASM160536v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/365/GCA_001605365.1_ASM160536v1
"Bordetella pertussis","I468",19440,SAMN03249378 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605385.1 ,4.1064,67.7,chromosome:NZ_CP010251.1/CP010251.1,-,1,3973,3630,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/385/GCF_001605385.1_ASM160538v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/385/GCA_001605385.1_ASM160538v1
"Bordetella pertussis","I469",19440,SAMN03249379 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605405.1 ,4.11166,67.7,chromosome:NZ_CP010252.1/CP010252.1,-,1,3973,3625,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/405/GCF_001605405.1_ASM160540v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/405/GCA_001605405.1_ASM160540v1
"Bordetella pertussis","I472",19440,SAMN03249380 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605425.1 ,4.11165,67.7,chromosome:NZ_CP010253.1/CP010253.1,-,1,3972,3622,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/425/GCF_001605425.1_ASM160542v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/425/GCA_001605425.1_ASM160542v1
"Bordetella pertussis","I476",19440,SAMN03216666 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605445.1 ,4.10533,67.7,chromosome:NZ_CP010254.1/CP010254.1,-,1,3975,3628,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/445/GCF_001605445.1_ASM160544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/445/GCA_001605445.1_ASM160544v1
"Bordetella pertussis","I480",19440,SAMN03216667 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605465.1 ,4.10639,67.7,chromosome:NZ_CP010255.1/CP010255.1,-,1,3972,3628,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/465/GCF_001605465.1_ASM160546v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/465/GCA_001605465.1_ASM160546v1
"Bordetella pertussis","I483",19440,SAMN03216668 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605485.1 ,4.10744,67.7,chromosome:NZ_CP010256.1/CP010256.1,-,1,3975,3629,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/485/GCF_001605485.1_ASM160548v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/485/GCA_001605485.1_ASM160548v1
"Bordetella pertussis","I496",19440,SAMN03216669 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605505.1 ,4.09671,67.7,chromosome:NZ_CP010257.1/CP010257.1,-,1,3966,3622,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/505/GCF_001605505.1_ASM160550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/505/GCA_001605505.1_ASM160550v1
"Bordetella pertussis","I498",19440,SAMN03216670 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605525.1 ,4.1065,67.7,chromosome:NZ_CP010258.1/CP010258.1,-,1,3965,3616,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/525/GCF_001605525.1_ASM160552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/525/GCA_001605525.1_ASM160552v1
"Bordetella pertussis","I518",19440,SAMN03216672 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605545.1 ,4.10535,67.7,chromosome:NZ_CP010259.1/CP010259.1,-,1,3971,3627,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/545/GCF_001605545.1_ASM160554v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/545/GCA_001605545.1_ASM160554v1
"Bordetella pertussis","I521",19440,SAMN03216673 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605565.1 ,4.10429,67.7,chromosome:NZ_CP010260.1/CP010260.1,-,1,3973,3629,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/565/GCF_001605565.1_ASM160556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/565/GCA_001605565.1_ASM160556v1
"Bordetella pertussis","I538",19440,SAMN03216674 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605585.1 ,4.10772,67.7,chromosome:NZ_CP010261.1/CP010261.1,-,1,3973,3630,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/585/GCF_001605585.1_ASM160558v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/585/GCA_001605585.1_ASM160558v1
"Bordetella pertussis","I539",19440,SAMN03216675 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605605.1 ,4.10667,67.7,chromosome:NZ_CP010262.1/CP010262.1,-,1,3973,3629,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/605/GCF_001605605.1_ASM160560v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/605/GCA_001605605.1_ASM160560v1
"Bordetella pertussis","I646",19440,SAMN03216676 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605625.1 ,4.10535,67.7,chromosome:NZ_CP010263.1/CP010263.1,-,1,3969,3626,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/625/GCF_001605625.1_ASM160562v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/625/GCA_001605625.1_ASM160562v1
"Bordetella pertussis","I656",19440,SAMN03216677 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605645.1 ,4.10176,67.7,chromosome:NZ_CP010264.1/CP010264.1,-,1,3970,3633,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/645/GCF_001605645.1_ASM160564v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/645/GCA_001605645.1_ASM160564v1
"Bordetella pertussis","I669",19440,SAMN03216678 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605665.1 ,4.10342,67.7,chromosome:NZ_CP010265.1/CP010265.1,-,1,3964,3622,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/665/GCF_001605665.1_ASM160566v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/665/GCA_001605665.1_ASM160566v1
"Bordetella pertussis","I707",19440,SAMN03216679 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001605685.1 ,4.10756,67.7,chromosome:NZ_CP010266.1/CP010266.1,-,1,3969,3622,2016/03/31,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/685/GCF_001605685.1_ASM160568v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/685/GCA_001605685.1_ASM160568v1
"Bordetella pertussis","I344",19440,SAMN03249375 ,PRJNA266616,"Proteobacteria","Betaproteobacteria",GCA_001628735.1 ,4.11106,67.7,chromosome:NZ_CP011255.1/CP011255.1,-,1,3971,3613,2016/04/22,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/628/735/GCF_001628735.1_ASM162873v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/735/GCA_001628735.1_ASM162873v1
"Bordetella pertussis","VA-190",19440,SAMN04867636 ,PRJNA321467,"Proteobacteria","Betaproteobacteria",GCA_001686365.1 ,4.12722,67.7,chromosome:NZ_CP015761.1/CP015761.1,-,1,3988,3632,2016/07/15,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/686/365/GCF_001686365.1_ASM168636v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/686/365/GCA_001686365.1_ASM168636v1
"Bordetella pertussis","VA-194",19440,SAMN04867637 ,PRJNA321467,"Proteobacteria","Betaproteobacteria",GCA_001686405.1 ,4.11517,67.7,chromosome:NZ_CP015759.1/CP015759.1,-,1,3982,3622,2016/07/15,2017/03/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/686/405/GCF_001686405.1_ASM168640v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/686/405/GCA_001686405.1_ASM168640v1
