Alias	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	ENA_checklist	Experiment	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	SRA_accession	Sample_Name	Title	collected_by	collection_date	geo_loc_name	geographic_location_country_and_or_sea	host	host_disease	host_health_state	isolate	isolation_source	lat_lon	strain	Consent
B1178_rpt-sc-2010-09-08-274908	WGS		116	PRJEB2274	SAMEA751141		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004019	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	272	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220264K	2012-07-28	139	83	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029300	ERS014208	ERP000331	ERS014208	SAMEA751141 ERS014208	Bordetella pertussis		1995		Italy			disease	09859			B124	public
B0930_rpt-sc-2010-09-08-274909	WGS		116	PRJEB2274	SAMEA751142		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004020	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:56:40Z	public	288	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220265L	2012-07-28	186	112	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029301	ERS014209	ERP000331	ERS014209	SAMEA751142 ERS014209	Bordetella pertussis		1994		Italy			disease	02632			B115	public
B1141_rpt-sc-2010-09-08-274910	WGS		116	PRJEB2274	SAMEA751496		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004021	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:40Z	public	282	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220266M	2012-07-30	165	99	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029302	ERS014210	ERP000331	ERS014210	SAMEA751496 ERS014210	Bordetella pertussis		1994		Italy			disease	08517			B118	public
B1134_rpt-sc-2010-09-08-274911	WGS		116	PRJEB2274	SAMEA751495		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16		ERX2004022	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	279	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220267N	2012-07-30	191	114	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029292	ERS014211	ERP000331	ERS014211	SAMEA751495 ERS014211	Bordetella pertussis												public
B1153_rpt-sc-2010-09-08-274912	WGS		116	PRJEB2274	SAMEA751498		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004023	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	274	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220268O	2012-07-30	269	162	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029293	ERS014212	ERP000331	ERS014212	SAMEA751498 ERS014212	Bordetella pertussis		1994		Italy			disease	09878			B119	public
B0919_rpt-sc-2010-09-08-274913	WGS		116	PRJEB2274	SAMEA751497		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004024	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:56:40Z	public	285	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220269P	2012-07-30	174	104	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029294	ERS014213	ERP000331	ERS014213	SAMEA751497 ERS014213	Bordetella pertussis		1994		Italy			disease	02002			B114	public
B1161_rpt-sc-2010-09-09-282704	WGS		116	PRJEB2274	SAMEA751453		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004001	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	272	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220273L	2012-07-30	271	160	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029304	ERS014503	ERP000331	ERS014503	SAMEA751453 ERS014503	Bordetella pertussis		1994		Italy			disease	01994			B113	public
B0917_rpt-sc-2010-09-09-282705	WGS		116	PRJEB2274	SAMEA751450		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004002	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:56:40Z	public	281	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220274M	2012-07-30	209	124	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029308	ERS014504	ERP000331	ERS014504	SAMEA751450 ERS014504	Bordetella pertussis		1994		Italy			disease	01766			B112	public
B1137_rpt-sc-2010-09-09-282706	WGS		116	PRJEB2274	SAMEA751449		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004003	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:56:40Z	public	263	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220275N	2012-07-30	343	204	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029309	ERS014505	ERP000331	ERS014505	SAMEA751449 ERS014505	Bordetella pertussis		1994		Italy			disease	13612			B122	public
B0913_rpt-sc-2010-09-09-282707	WGS		116	PRJEB2274	SAMEA751452		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004004	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:56:40Z	public	275	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220276O	2012-07-30	341	201	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029310	ERS014506	ERP000331	ERS014506	SAMEA751452 ERS014506	Bordetella pertussis		1995		Italy			disease	10103			B125	public
BP70_rpt-sc-2010-09-09-282708	WGS		116	PRJEB2274	SAMEA751451		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004005	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	279	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220277P	2012-07-28	171	102	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029311	ERS014507	ERP000331	ERS014507	SAMEA751451 ERS014507	Bordetella pertussis		1988		Japan			disease	BP70			B126	public
BP22_rpt-sc-2010-09-09-282709	WGS		116	PRJEB2274	SAMEA751448		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004006	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	261	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220278Q	2012-07-28	380	226	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029312	ERS014508	ERP000331	ERS014508	SAMEA751448 ERS014508	Bordetella pertussis		1991		Japan			disease	BP22			B128	public
BP182_rpt-sc-2010-09-09-282710	WGS		116	PRJEB2274	SAMEA751447		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004007	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	282	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220279R	2012-07-30	141	84	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029313	ERS014509	ERP000331	ERS014509	SAMEA751447 ERS014509	Bordetella pertussis		1991		Japan			disease	BP182			B127	public
BP120_rpt-sc-2010-09-09-282711	WGS		116	PRJEB2274	SAMEA751493		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004008	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:57:07Z	public	278	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220280K	2012-07-30	225	134	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029314	ERS014510	ERP000331	ERS014510	SAMEA751493 ERS014510	Bordetella pertussis		1995		Japan			disease	BP120			B130	public
BP128_rpt-sc-2010-09-09-282712	WGS		116	PRJEB2274	SAMEA751522		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004009	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:57:07Z	public	282	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220281L	2012-07-30	151	90	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029315	ERS014511	ERP000331	ERS014511	SAMEA751522 ERS014511	Bordetella pertussis		1996		Japan			disease	BP128			B132	public
BP121_rpt-sc-2010-09-09-282713	WGS		116	PRJEB2274	SAMEA751491		SC	sra	ncbi		2011-02-10	2018-11-16	ERC000011	ERX2004010	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T11:57:07Z	public	274	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220282M	2012-07-30	337	200	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029305	ERS014512	ERP000331	ERS014512	SAMEA751491 ERS014512	Bordetella pertussis		1998		Japan			disease	BP121			B133	public
BP31_rpt-sc-2010-09-09-282714	WGS		116	PRJEB2274	SAMEA751492		SC	sra	sra-sos	sra-sos.public	2011-02-10	2018-11-16	ERC000011	ERX2004011	SC	Wellcome Sanger Institute	2011-02-14T17:17:50Z	2018-03-09T09:52:41Z	public	278	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	NT220283N	2012-07-28	180	108	Bordetella pertussis	ILLUMINA	2011-03-18	ERR029306	ERS014513	ERP000331	ERS014513	SAMEA751492 ERS014513	Bordetella pertussis		1999		Japan			disease	BP31			B134	public
